Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),Release Version,Feature Area
"1213142924080086",2026-02-05,,2026-02-05,The backup script needs to use timestamp in backup file name,Not Started,,,,2026-03-15,,,ScarsdaleBuzz,,,,Directory Launch FF,Ops and KTLO
"1213046813337201",2026-02-01,,2026-02-01,Build Mobile App (Android),Not Started,,,,2026-05-15,,Release Version: Sunny Prod Launch (w/Subs!)\nNotion Status: Not started,ScarsdaleBuzz,,,,Sunny Prod Launch (w/Subs!),Mobile App - Android
"1213046813427990",2026-02-01,,2026-02-01,Build subscription lifecycle,Not Started,,,,2026-05-15,,Release Version: Sunny Prod Launch (w/Subs!)\nNotion Status: Not started,ScarsdaleBuzz,,,,Sunny Prod Launch (w/Subs!),Subscriptions and Billing
"1213071410636494",2026-02-01,,2026-02-01,Build provider opt-in expereince,Not Started,,,,2026-04-15,,Release Version: Directory Launch FF\nNotion Status: Not started,ScarsdaleBuzz,,,,Sunny Beta Launch,Directory
"1213071408411293",2026-02-01,,2026-02-01,Need a regular backup of the data - likely best as a CSV in a GCP bucket,Not Started,,,,2026-03-15,,Release Version: Directory Launch FF\nNotion Status: Not started,ScarsdaleBuzz,,,,Directory Launch FF,Ops and KTLO
"1213047030381497",2026-02-01,,2026-02-01,Schedule Sunny Meeting,Not Started,,,,2026-04-15,,Release Version: Sunny Beta Launch\nNotion Status: Not started,ScarsdaleBuzz,,,,Sunny Beta Launch,Sunny
"1213046186412886",2026-02-01,,2026-02-01,Write tests,Not Started,,,,2026-03-15,,Release Version: Directory Launch FF\nNotion Status: Not started,ScarsdaleBuzz,,,,Directory Launch FF,Ops and KTLO
"1213046186422066",2026-02-01,,2026-02-01,Build out evals framework,Not Started,,,,2026-03-15,,Release Version: Directory Launch FF\nNotion Status: Not started,ScarsdaleBuzz,,,,Directory Launch FF,Ops and KTLO
"1213071416814938",2026-02-01,,2026-02-01,Support the ability to kick off a sunny request directly from the directory,Not Started,,,,2026-04-15,,Release Version: Sunny Beta Launch\nNotion Status: Not started,ScarsdaleBuzz,,,,Sunny Beta Launch,Sunny
"1213071416814559",2026-02-01,,2026-02-01,Figure out a business email (switch all accounts to it),Not Started,,,,,,Release Version: TBD\nNotion Status: In progress,ScarsdaleBuzz,,,,Administration,
"1213071420610914",2026-02-01,,2026-02-01,Blog Post - Setting up LLC,Not Started,,,,,,Release Version: TBD\nNotion Status: Not started,ScarsdaleBuzz,,,,PR + Marketing,
"1213071351300694",2026-02-01,,2026-02-01,Switch GCP to Mercury CC,Not Started,,,,2026-03-15,,,ScarsdaleBuzz,,,,Directory Launch FF,Ops and KTLO
"1213071351300700",2026-02-01,,2026-02-01,Change LLC Address,Not Started,,,,,,,ScarsdaleBuzz,,,,Administration,
"1213071351300705",2026-02-01,,2026-02-01,Make Demo Video,Not Started,,,,,,,ScarsdaleBuzz,,,,PR + Marketing,
"1213071351300720",2026-02-01,,2026-02-01,Check if Sunny can complete user request before starting task,Not Started,,,,2026-04-15,,,ScarsdaleBuzz,,,,Sunny Beta Launch,Sunny
"1213071351300724",2026-02-01,,2026-02-01,Add concept of memory - store the facts learned along the way,Not Started,,,,2026-05-15,,,ScarsdaleBuzz,,,,Sunny Prod Launch (w/Subs!),Sunny
"1213071351300726",2026-02-01,,2026-02-01,Learn across convos,,,,,,,,,Add concept of memory - store the facts learned along the way,,,,
"1213071351300727",2026-02-01,,2026-02-01,Learn account info,,,,,,,,,Add concept of memory - store the facts learned along the way,,,,
"1213071351300728",2026-02-01,,2026-02-01,Remember to user past providers,,,,,,,,,Add concept of memory - store the facts learned along the way,,,,
"1213071351300729",2026-02-01,,2026-02-01,Schedule follow-up if you don't hear back from provider,Not Started,,,,2026-04-15,,,ScarsdaleBuzz,,,,Sunny Beta Launch,Sunny
"1213071351300733",2026-02-01,,2026-02-01,Sunny should confirm with provider day before appointment,Not Started,,,,2026-05-15,,,ScarsdaleBuzz,,,,Sunny Prod Launch (w/Subs!),Sunny
"1213071351300736",2026-02-01,,2026-02-01,"If provider requests phone convo, give users number",Not Started,,,,2026-05-15,,,ScarsdaleBuzz,,,,Sunny Prod Launch (w/Subs!),Sunny
"1213071351300741",2026-02-01,,2026-02-01,Share address with provider on confirmation,Not Started,,,,2026-04-15,,,ScarsdaleBuzz,,,,Sunny Beta Launch,Sunny
"1213071351300744",2026-02-01,,2026-02-01,"When task confirmed, provider summary of conversation with plumber to the user",Not Started,,,,2026-04-15,,,ScarsdaleBuzz,,,,Sunny Beta Launch,Sunny
"1213071351300749",2026-02-01,,2026-02-01,Confirmation summary page should include tips on what to do until service provider arrives,Not Started,,,,2026-05-15,,,ScarsdaleBuzz,,,,Sunny Prod Launch (w/Subs!),Sunny
"1213071351300754",2026-02-01,,2026-02-01,Complete A2P 10DLC Compliance,Not Started,,,,2026-04-15,,,ScarsdaleBuzz,,,,Sunny Beta Launch,Sunny
"1213071351300757",2026-02-01,,2026-02-01,Enable Sunny to fall back to a second provider for a request,Not Started,,,,2026-04-15,,,ScarsdaleBuzz,,,,Sunny Beta Launch,Sunny
"1213071351300759",2026-02-01,,2026-02-01,Enable Sunny to contact multiple providers in paralle,Not Started,,,,2026-05-15,,,ScarsdaleBuzz,,,,Sunny Prod Launch (w/Subs!),Sunny
"1213071351300761",2026-02-01,,2026-02-01,Update the algorithm to pick the best plumber,Not Started,,,,2026-04-15,,,ScarsdaleBuzz,,,,Sunny Beta Launch,Sunny
"1213071351300763",2026-02-01,,2026-02-01,Make sure Sunny can refer to plumber by name if in database,Not Started,,,,2026-04-15,,,ScarsdaleBuzz,,,,Sunny Beta Launch,Sunny
